drug_S	action	drug_T	cyps
amiodarone	enhances	irinotecan	3A457
amiodarone	enhances	isavuconazole	3A457
amiodarone	enhances	ivabradine	3A457
amiodarone	enhances	ivacaftor	3A457
amiodarone	enhances	lansoprazole	3A457
amiodarone	enhances	lenvatinib	3A457
amiodarone	enhances	lercanidipine	3A457
amiodarone	enhances	lesinurad	2C9
amiodarone	enhances	letermovir	2D6
amiodarone	enhances	levacetylmethadol	3A457
amiodarone	enhances	lidocaine	2D6,3A457
amiodarone	enhances	linagliptin	3A457
amiodarone	enhances	lornoxicam	2C9
amiodarone	enhances	losartan	2C9
amiodarone	enhances	lovastatin	3A457
amiodarone	enhances	macitentan	3A457
amiodarone	enhances	meloxicam	2C9
amiodarone	enhances	methadone	3A457
amiodarone	enhances	metoclopramide	2D6
amiodarone	enhances	metoprolol	2D6
amiodarone	enhances	mexiletine	1A2,2D6
amiodarone	enhances	midazolam	3A457
amiodarone	enhances	minaprine	2D6
amiodarone	enhances	nabumetone	1A2
amiodarone	enhances	naldemedine	3A457
amiodarone	enhances	naloxegol	3A457
amiodarone	enhances	naproxen	1A2,2C9
amiodarone	enhances	nateglinide	2C9,3A457
amiodarone	enhances	nebivolol	2D6
amiodarone	enhances	nelfinavir	3A457
amiodarone	enhances	neratinib	3A457
amiodarone	enhances	nevirapine	3A457
amiodarone	enhances	nifedipine	3A457
amiodarone	enhances	nisoldipine	3A457
amiodarone	enhances	nitrendipine	3A457
amiodarone	enhances	nortriptyline	2D6
amiodarone	enhances	olanzapine	1A2
amiodarone	enhances	olaparib	3A457
amiodarone	enhances	olodaterol	2C9
amiodarone	enhances	omeprazole	3A457
amiodarone	enhances	ondansetron	1A2,2D6,3A457
amiodarone	enhances	osimertinib	3A457
amiodarone	enhances	ospemifene	2C9,3A457
amiodarone	enhances	oxycodone	2D6
amiodarone	enhances	paclitaxel	3A457
amiodarone	enhances	palbociclib	3A457
amiodarone	enhances	palonosetron	2D6,3A457
amiodarone	enhances	panobinostat	3A457
amiodarone	enhances	pantoprazole	3A457
amiodarone	enhances	paroxetine	2D6
amiodarone	enhances	perampanel	3A457
amiodarone	enhances	perhexiline	2D6
amiodarone	enhances	perphenazine	2D6
amiodarone	enhances	phenacetin	1A2,2D6
amiodarone	enhances	phenformin	2D6
amiodarone	enhances	phenytoin	2C9
amiodarone	enhances	pimavanserin	2D6,3A457
amiodarone	enhances	pimozide	3A457
amiodarone	enhances	pirfenidone	1A2
amiodarone	enhances	piroxicam	2C9
amiodarone	enhances	pomalidomide	1A2,2D6,3A457
amiodarone	enhances	ponatinib	2D6,3A457
amiodarone	enhances	progesterone	3A457
amiodarone	enhances	promethazine	2D6
amiodarone	enhances	propafenone	2D6
amiodarone	enhances	propranolol	1A2,2D6,3A457
amiodarone	enhances	quetiapine	3A457
amiodarone	enhances	quinidine	3A457
amiodarone	enhances	quinine	3A457
amiodarone	enhances	regorafenib	3A457
amiodarone	enhances	ribociclib	3A457
amiodarone	enhances	rilpivirine	3A457
amiodarone	enhances	riluzole	1A2
amiodarone	enhances	risperidone	2D6,3A457
amiodarone	enhances	ritonavir	3A457
amiodarone	enhances	rivaroxaban	3A457
amiodarone	enhances	roflumilast	1A2,3A457
amiodarone	enhances	rolapitant	3A457
amiodarone	enhances	romidepsin	3A457
amiodarone	enhances	ropivacaine	1A2
amiodarone	enhances	rosiglitazone	2C9
amiodarone	enhances	rucaparib	1A2,2D6,3A457
amiodarone	enhances	ruxolitinib	2C9,3A457
amiodarone	enhances	salmeterol	3A457
amiodarone	enhances	saquinavir	3A457
amiodarone	enhances	selexipag	3A457
amiodarone	enhances	sildenafil	3A457
amiodarone	enhances	simeprevir	3A457
amiodarone	enhances	simvastatin	3A457
amiodarone	enhances	sirolimus	3A457
amiodarone	enhances	sonidegib	3A457
amiodarone	enhances	sorafenib	3A457
amiodarone	enhances	sparteine	2D6
amiodarone	enhances	sunitinib	3A457
amiodarone	enhances	suprofen	2C9
amiodarone	enhances	suvorexant	3A457
amiodarone	enhances	tacrine	1A2
amiodarone	enhances	tacrolimus	3A457
amiodarone	enhances	tadalafil	3A457
amiodarone	enhances	tamoxifen	2C9,2D6,3A457
amiodarone	enhances	tasimelteon	1A2,3A457
amiodarone	enhances	telaprevir	3A457
amiodarone	enhances	telithromycin	3A457
amiodarone	enhances	temsirolimus	3A457
amiodarone	enhances	terfenadine	3A457
amiodarone	enhances	testosterone	3A457
amiodarone	enhances	tetrabenazine	2D6
amiodarone	enhances	theophylline	1A2
amiodarone	enhances	thioridazine	2D6
amiodarone	enhances	ticagrelor	3A457
amiodarone	enhances	timolol	2D6
amiodarone	enhances	tizanidine	1A2
amiodarone	enhances	tofacitinib	3A457
amiodarone	enhances	tolbutamide	2C9
amiodarone	enhances	tolvaptan	3A457
amiodarone	enhances	torasemide	2C9
amiodarone	enhances	tramadol	2D6,3A457
amiodarone	enhances	trazodone	3A457
amiodarone	enhances	triamterene	1A2
amiodarone	enhances	triazolam	3A457
amiodarone	enhances	umeclidinium	2D6
amiodarone	enhances	valbenazine	2D6,3A457
amiodarone	enhances	valproate	2C9
amiodarone	enhances	vandetanib	3A457
amiodarone	enhances	vardenafil	3A457
amiodarone	enhances	velpatasvir	3A457
amiodarone	enhances	vemurafenib	3A457
amiodarone	enhances	venetoclax	3A457
amiodarone	enhances	venlafaxine	2C9,2D6,3A457
amiodarone	enhances	verapamil	1A2,3A457
amiodarone	enhances	vilazodone	2D6,3A457
amiodarone	enhances	vincristine	3A457
amiodarone	enhances	vorapaxar	3A457
amiodarone	enhances	voriconazole	2C9,3A457
amiodarone	enhances	warfarin	1A2,2C9
amiodarone	enhances	zafirlukast	2C9
amiodarone	enhances	zaleplon	3A457
amiodarone	enhances	zileuton	1A2
amiodarone	enhances	ziprasidone	3A457
amiodarone	enhances	zolmitriptan	1A2
amiodarone	enhances	zolpidem	3A457
amiodarone	enhances	zuclopenthixol	2D6
aprepitant	enhances	abemaciclib	3A457
aprepitant	enhances	abiraterone	3A457
aprepitant	enhances	acalabrutinib	3A457
aprepitant	enhances	alectinib	3A457
aprepitant	enhances	alfentanil	3A457
aprepitant	enhances	alprazolam	3A457
aprepitant	enhances	amitriptyline	3A457
aprepitant	enhances	amlodipine	3A457
aprepitant	enhances	apixaban	3A457
aprepitant	enhances	aripiprazole	3A457
aprepitant	enhances	astemizole	3A457
aprepitant	enhances	atorvastatin	3A457
aprepitant	enhances	avanafil	3A457
aprepitant	enhances	axitinib	3A457
aprepitant	enhances	boceprevir	3A457
aprepitant	enhances	bosutinib	3A457
aprepitant	enhances	brexpiprazole	3A457
aprepitant	enhances	buspirone	3A457
aprepitant	enhances	caffeine	3A457
aprepitant	enhances	cariprazine	3A457
aprepitant	enhances	ceritinib	3A457
aprepitant	enhances	cerivastatin	3A457
aprepitant	enhances	chlorpheniramine	3A457
aprepitant	enhances	cilostazol	3A457
aprepitant	enhances	cisapride	3A457
aprepitant	enhances	citalopram	3A457
aprepitant	enhances	clarithromycin	3A457
aprepitant	enhances	clopidogrel	3A457
aprepitant	enhances	cobimetinib	3A457
aprepitant	enhances	cocaine	3A457
aprepitant	enhances	codeine	3A457
aprepitant	enhances	colchicine	3A457
aprepitant	enhances	copanlisib	3A457
aprepitant	enhances	crizotinib	3A457
aprepitant	enhances	cyclosporine	3A457
aprepitant	enhances	daclatasvir	3A457
aprepitant	enhances	dapsone	3A457
aprepitant	enhances	deflazacort	3A457
aprepitant	enhances	dexamethasone	3A457
aprepitant	enhances	dextromethorphan	3A457
aprepitant	enhances	diazepam	3A457
aprepitant	enhances	diltiazem	3A457
aprepitant	enhances	docetaxel	3A457
aprepitant	enhances	dolutegravir	3A457
aprepitant	enhances	domperidone	3A457
aprepitant	enhances	doxepin	3A457
aprepitant	enhances	elbasvir	3A457
aprepitant	enhances	eliglustat	3A457
aprepitant	enhances	eplerenone	3A457
aprepitant	enhances	ergotamine	3A457
aprepitant	enhances	erythromycin	3A457
aprepitant	enhances	escitalopram	3A457
aprepitant	enhances	esomeprazole	3A457
aprepitant	enhances	estradiol	3A457
aprepitant	enhances	felodipine	3A457
aprepitant	enhances	fentanyl	3A457
aprepitant	enhances	finasteride	3A457
aprepitant	enhances	flibanserin	3A457
aprepitant	enhances	haloperidol	3A457
aprepitant	enhances	hydrocortisone	3A457
aprepitant	enhances	ibrutinib	3A457
aprepitant	enhances	idelalisib	3A457
aprepitant	enhances	imatinib	3A457
aprepitant	enhances	indacaterol	3A457
aprepitant	enhances	indinavir	3A457
aprepitant	enhances	irinotecan	3A457
aprepitant	enhances	isavuconazole	3A457
aprepitant	enhances	ivabradine	3A457
aprepitant	enhances	ivacaftor	3A457
aprepitant	enhances	lansoprazole	3A457
aprepitant	enhances	lenvatinib	3A457
aprepitant	enhances	lercanidipine	3A457
aprepitant	enhances	levacetylmethadol	3A457
aprepitant	enhances	lidocaine	3A457
aprepitant	enhances	linagliptin	3A457
aprepitant	enhances	lovastatin	3A457
aprepitant	enhances	macitentan	3A457
aprepitant	enhances	methadone	3A457
aprepitant	enhances	midazolam	3A457
aprepitant	enhances	naldemedine	3A457
aprepitant	enhances	naloxegol	3A457
aprepitant	enhances	nateglinide	3A457
aprepitant	enhances	nelfinavir	3A457
aprepitant	enhances	neratinib	3A457
aprepitant	enhances	nifedipine	3A457
aprepitant	enhances	nisoldipine	3A457
aprepitant	enhances	nitrendipine	3A457
aprepitant	enhances	olaparib	3A457
aprepitant	enhances	omeprazole	3A457
aprepitant	enhances	ondansetron	3A457
aprepitant	enhances	osimertinib	3A457
aprepitant	enhances	ospemifene	3A457
aprepitant	enhances	paclitaxel	3A457
aprepitant	enhances	palbociclib	3A457
aprepitant	enhances	palonosetron	3A457
aprepitant	enhances	panobinostat	3A457
aprepitant	enhances	pantoprazole	3A457
aprepitant	enhances	perampanel	3A457
aprepitant	enhances	pimavanserin	3A457
aprepitant	enhances	pimozide	3A457
aprepitant	enhances	pomalidomide	3A457
aprepitant	enhances	ponatinib	3A457
aprepitant	enhances	progesterone	3A457
aprepitant	enhances	propranolol	3A457
aprepitant	enhances	quetiapine	3A457
aprepitant	enhances	quinidine	3A457
aprepitant	enhances	quinine	3A457
aprepitant	enhances	regorafenib	3A457
aprepitant	enhances	ribociclib	3A457
aprepitant	enhances	rilpivirine	3A457
aprepitant	enhances	risperidone	3A457
aprepitant	enhances	ritonavir	3A457
aprepitant	enhances	rivaroxaban	3A457
aprepitant	enhances	roflumilast	3A457
aprepitant	enhances	rolapitant	3A457
aprepitant	enhances	romidepsin	3A457
aprepitant	enhances	rucaparib	3A457
aprepitant	enhances	ruxolitinib	3A457
aprepitant	enhances	salmeterol	3A457
aprepitant	enhances	saquinavir	3A457
aprepitant	enhances	selexipag	3A457
aprepitant	enhances	sildenafil	3A457
aprepitant	enhances	simeprevir	3A457
aprepitant	enhances	simvastatin	3A457
aprepitant	enhances	sirolimus	3A457
aprepitant	enhances	sonidegib	3A457
aprepitant	enhances	sorafenib	3A457
aprepitant	enhances	sunitinib	3A457
aprepitant	enhances	suvorexant	3A457
aprepitant	enhances	tacrolimus	3A457
aprepitant	enhances	tadalafil	3A457
aprepitant	enhances	tamoxifen	3A457
aprepitant	enhances	tasimelteon	3A457
aprepitant	enhances	telaprevir	3A457
aprepitant	enhances	telithromycin	3A457
aprepitant	enhances	temsirolimus	3A457
aprepitant	enhances	terfenadine	3A457
aprepitant	enhances	testosterone	3A457
aprepitant	enhances	ticagrelor	3A457
aprepitant	enhances	tofacitinib	3A457
aprepitant	enhances	tolvaptan	3A457
aprepitant	enhances	tramadol	3A457
aprepitant	enhances	trazodone	3A457
aprepitant	enhances	triazolam	3A457
aprepitant	enhances	valbenazine	3A457
aprepitant	enhances	vandetanib	3A457
aprepitant	enhances	vardenafil	3A457
aprepitant	enhances	velpatasvir	3A457
aprepitant	enhances	vemurafenib	3A457
aprepitant	enhances	venetoclax	3A457
aprepitant	enhances	venlafaxine	3A457
aprepitant	enhances	verapamil	3A457
aprepitant	enhances	vilazodone	3A457
aprepitant	enhances	vincristine	3A457
aprepitant	enhances	vorapaxar	3A457
aprepitant	enhances	voriconazole	3A457
aprepitant	enhances	zaleplon	3A457
aprepitant	enhances	ziprasidone	3A457
aprepitant	enhances	zolpidem	3A457
aripiprazole	enhances	alprenolol	2D6
aripiprazole	enhances	amfetamine	2D6
aripiprazole	enhances	amitriptyline	2D6
aripiprazole	enhances	atomoxetine	2D6
aripiprazole	enhances	brexpiprazole	2D6
aripiprazole	enhances	cariprazine	2D6
aripiprazole	enhances	carvedilol	2D6
aripiprazole	enhances	chlorpheniramine	2D6
aripiprazole	enhances	chlorpromazine	2D6
aripiprazole	enhances	citalopram	2D6
aripiprazole	enhances	clomipramine	2D6
aripiprazole	enhances	clonidine	2D6
aripiprazole	enhances	codeine	2D6
aripiprazole	enhances	debrisoquine	2D6
aripiprazole	enhances	desipramine	2D6
aripiprazole	enhances	dexfenfluramine	2D6
aripiprazole	enhances	dextromethorphan	2D6
aripiprazole	enhances	donepezil	2D6
aripiprazole	enhances	doxepin	2D6
aripiprazole	enhances	duloxetine	2D6
aripiprazole	enhances	eliglustat	2D6
aripiprazole	enhances	encainide	2D6
aripiprazole	enhances	escitalopram	2D6
aripiprazole	enhances	flecainide	2D6
aripiprazole	enhances	fluoxetine	2D6
aripiprazole	enhances	fluvoxamine	2D6
aripiprazole	enhances	haloperidol	2D6
aripiprazole	enhances	ibrutinib	2D6
aripiprazole	enhances	imipramine	2D6
aripiprazole	enhances	letermovir	2D6
aripiprazole	enhances	lidocaine	2D6
aripiprazole	enhances	metoclopramide	2D6
aripiprazole	enhances	metoprolol	2D6
aripiprazole	enhances	mexiletine	2D6
aripiprazole	enhances	minaprine	2D6
aripiprazole	enhances	nebivolol	2D6
aripiprazole	enhances	nortriptyline	2D6
aripiprazole	enhances	ondansetron	2D6
aripiprazole	enhances	oxycodone	2D6
aripiprazole	enhances	palonosetron	2D6
aripiprazole	enhances	paroxetine	2D6
aripiprazole	enhances	perhexiline	2D6
aripiprazole	enhances	perphenazine	2D6
aripiprazole	enhances	phenacetin	2D6
aripiprazole	enhances	phenformin	2D6
aripiprazole	enhances	pimavanserin	2D6
aripiprazole	enhances	pomalidomide	2D6
aripiprazole	enhances	ponatinib	2D6
aripiprazole	enhances	promethazine	2D6
aripiprazole	enhances	propafenone	2D6
aripiprazole	enhances	propranolol	2D6
aripiprazole	enhances	risperidone	2D6
aripiprazole	enhances	rucaparib	2D6
aripiprazole	enhances	sparteine	2D6
aripiprazole	enhances	tamoxifen	2D6
aripiprazole	enhances	tetrabenazine	2D6
aripiprazole	enhances	thioridazine	2D6
aripiprazole	enhances	timolol	2D6
aripiprazole	enhances	tramadol	2D6
aripiprazole	enhances	umeclidinium	2D6
aripiprazole	enhances	valbenazine	2D6
aripiprazole	enhances	venlafaxine	2D6
aripiprazole	enhances	vilazodone	2D6
aripiprazole	enhances	zuclopenthixol	2D6
armodafinil	enhances	amitriptyline	2C19
armodafinil	enhances	atomoxetine	2C19
armodafinil	enhances	brivaracetam	2C19
armodafinil	enhances	carisoprodol	2C19
armodafinil	enhances	chloramphenicol	2C19
armodafinil	enhances	citalopram	2C19
armodafinil	enhances	clobazam	2C19
armodafinil	enhances	clomipramine	2C19
armodafinil	enhances	clopidogrel	2C19
armodafinil	enhances	cyclophosphamide	2C19
armodafinil	enhances	diazepam	2C19
armodafinil	enhances	doxepin	2C19
armodafinil	enhances	escitalopram	2C19
armodafinil	enhances	esomeprazole	2C19
armodafinil	enhances	flibanserin	2C19
armodafinil	enhances	hexobarbital	2C19
armodafinil	enhances	imipramine	2C19
armodafinil	enhances	indometacin	2C19
armodafinil	enhances	labetalol	2C19
armodafinil	enhances	lansoprazole	2C19
armodafinil	enhances	mephenytoin	2C19
armodafinil	enhances	methylphenobarbital	2C19
armodafinil	enhances	moclobemide	2C19
armodafinil	enhances	nelfinavir	2C19
armodafinil	enhances	nilutamide	2C19
armodafinil	enhances	omeprazole	2C19
armodafinil	enhances	ospemifene	2C19
armodafinil	enhances	pantoprazole	2C19
armodafinil	enhances	phenobarbital	2C19
armodafinil	enhances	phenytoin	2C19
armodafinil	enhances	pomalidomide	2C19
armodafinil	enhances	primidone	2C19
armodafinil	enhances	progesterone	2C19
armodafinil	enhances	proguanil	2C19
armodafinil	enhances	propranolol	2C19
armodafinil	enhances	suvorexant	2C19
armodafinil	enhances	teniposide	2C19
armodafinil	enhances	tofacitinib	2C19
armodafinil	enhances	venlafaxine	2C19
armodafinil	enhances	vilazodone	2C19
armodafinil	enhances	voriconazole	2C19
armodafinil	enhances	warfarin	2C19
artemisinin	reduces	bupropion	2B6
artemisinin	reduces	clobazam	2B6
artemisinin	reduces	cyclophosphamide	2B6
artemisinin	reduces	efavirenz	2B6
artemisinin	reduces	ifosfamide	2B6
artemisinin	reduces	ketamine	2B6
artemisinin	reduces	meperidine	2B6
artemisinin	reduces	methadone	2B6
artemisinin	reduces	nevirapine	2B6
artemisinin	reduces	propofol	2B6
artemisinin	reduces	selegiline	2B6
artemisinin	reduces	sorafenib	2B6
artemisinin	reduces	tramadol	2B6
artemisinin	reduces	velpatasvir	2B6
atomoxetine	enhances	abemaciclib	3A457
atomoxetine	enhances	abiraterone	3A457
atomoxetine	enhances	acalabrutinib	3A457
atomoxetine	enhances	alectinib	3A457
atomoxetine	enhances	alfentanil	3A457
atomoxetine	enhances	alprazolam	3A457
atomoxetine	enhances	amitriptyline	3A457
atomoxetine	enhances	amlodipine	3A457
atomoxetine	enhances	apixaban	3A457
atomoxetine	enhances	aprepitant	3A457
atomoxetine	enhances	aripiprazole	3A457
atomoxetine	enhances	astemizole	3A457
atomoxetine	enhances	atorvastatin	3A457
atomoxetine	enhances	avanafil	3A457
atomoxetine	enhances	axitinib	3A457
atomoxetine	enhances	boceprevir	3A457
atomoxetine	enhances	bosutinib	3A457
atomoxetine	enhances	brexpiprazole	3A457
atomoxetine	enhances	brigatinib	3A457
atomoxetine	enhances	buspirone	3A457
atomoxetine	enhances	caffeine	3A457
atomoxetine	enhances	carbamazepine	3A457
atomoxetine	enhances	cariprazine	3A457
atomoxetine	enhances	ceritinib	3A457
atomoxetine	enhances	cerivastatin	3A457
atomoxetine	enhances	chlorpheniramine	3A457
atomoxetine	enhances	cilostazol	3A457
atomoxetine	enhances	cisapride	3A457
atomoxetine	enhances	citalopram	3A457
atomoxetine	enhances	clarithromycin	3A457
atomoxetine	enhances	clobazam	3A457
atomoxetine	enhances	clopidogrel	3A457
atomoxetine	enhances	cobimetinib	3A457
atomoxetine	enhances	cocaine	3A457
atomoxetine	enhances	codeine	3A457
atomoxetine	enhances	colchicine	3A457
atomoxetine	enhances	copanlisib	3A457
atomoxetine	enhances	crizotinib	3A457
atomoxetine	enhances	cyclosporine	3A457
atomoxetine	enhances	dabrafenib	3A457
atomoxetine	enhances	daclatasvir	3A457
atomoxetine	enhances	dapsone	3A457
atomoxetine	enhances	deflazacort	3A457
atomoxetine	enhances	dexamethasone	3A457
atomoxetine	enhances	dextromethorphan	3A457
atomoxetine	enhances	diazepam	3A457
atomoxetine	enhances	diltiazem	3A457
atomoxetine	enhances	docetaxel	3A457
atomoxetine	enhances	dolutegravir	3A457
atomoxetine	enhances	domperidone	3A457
atomoxetine	enhances	doxepin	3A457
atomoxetine	enhances	elagolix	3A457
atomoxetine	enhances	elbasvir	3A457
atomoxetine	enhances	eliglustat	3A457
atomoxetine	enhances	enzalutamide	3A457
atomoxetine	enhances	eplerenone	3A457
atomoxetine	enhances	ergotamine	3A457
atomoxetine	enhances	erythromycin	3A457
atomoxetine	enhances	escitalopram	3A457
atomoxetine	enhances	esomeprazole	3A457
atomoxetine	enhances	estradiol	3A457
atomoxetine	enhances	felodipine	3A457
atomoxetine	enhances	fentanyl	3A457
atomoxetine	enhances	finasteride	3A457
atomoxetine	enhances	flibanserin	3A457
atomoxetine	enhances	haloperidol	3A457
atomoxetine	enhances	hydrocortisone	3A457
atomoxetine	enhances	ibrutinib	3A457
atomoxetine	enhances	idelalisib	3A457
atomoxetine	enhances	imatinib	3A457
atomoxetine	enhances	indacaterol	3A457
atomoxetine	enhances	indinavir	3A457
atomoxetine	enhances	irinotecan	3A457
atomoxetine	enhances	isavuconazole	3A457
atomoxetine	enhances	ivabradine	3A457
atomoxetine	enhances	ivacaftor	3A457
