id	drug_S	action	cyp	drug_T	class	atc5_S	atc5_T
282	amiodarone	enhances	3A457	telithromycin	D	C01BD01	J01FA15
283	amiodarone	enhances	3A457	temsirolimus	B	C01BD01	L01EG01
286	amiodarone	enhances	2D6	tetrabenazine	D	C01BD01	N07XX06
287	amiodarone	enhances	1A2	theophylline	C	C01BD01	R03DA04
290	amiodarone	enhances	2D6	timolol	B	C01BD01	C07AA06
291	amiodarone	enhances	1A2	tizanidine	D	C01BD01	M03BX02
295	amiodarone	enhances	2C9	torasemide	D	C01BD01	C03CA04
296	amiodarone	enhances	2D6,3A457	tramadol	B	C01BD01	N02AX02
297	amiodarone	enhances	3A457	trazodone	D	C01BD01	N06AX05
303	amiodarone	enhances	3A457	vandetanib	D	C01BD01	L01EX04
304	amiodarone	enhances	3A457	vardenafil	D	C01BD01	G04BE09
308	amiodarone	enhances	2C9,2D6,3A457	venlafaxine	D	C01BD01	N06AX16
309	amiodarone	enhances	1A2,3A457	verapamil	D	C01BD01	C08DA01
311	amiodarone	enhances	3A457	vincristine	C	C01BD01	L01CA02
313	amiodarone	enhances	2C9,3A457	voriconazole	D	C01BD01	J02AC03
314	amiodarone	enhances	1A2,2C9	warfarin	C	C01BD01	B01AA03
318	amiodarone	enhances	3A457	ziprasidone	D	C01BD01	N05AE04
327	aprepitant	enhances	3A457	alprazolam	C	A04AD12	N05BA12
360	aprepitant	enhances	3A457	dexamethasone	C	A04AD12	H02AB02
362	aprepitant	enhances	3A457	diazepam	B	A04AD12	N05BA01
370	aprepitant	enhances	3A457	eplerenone	C	A04AD12	C03DA04
384	aprepitant	enhances	3A457	imatinib	B	A04AD12	L01XE01
387	aprepitant	enhances	3A457	irinotecan	D	A04AD12	L01CE02
400	aprepitant	enhances	3A457	midazolam	C	A04AD12	N05CD08
414	aprepitant	enhances	3A457	paclitaxel	B	A04AD12	L01CD01
421	aprepitant	enhances	3A457	pimozide	D	A04AD12	N05AG02
457	aprepitant	enhances	3A457	temsirolimus	C	A04AD12	L01EG01
462	aprepitant	enhances	3A457	tolvaptan	C	A04AD12	C03XA01
465	aprepitant	enhances	3A457	triazolam	C	A04AD12	N05CD05
475	aprepitant	enhances	3A457	vincristine	B	A04AD12	L01CA02
505	aripiprazole	enhances	2D6	fluoxetine	D	N05AX12	N06AB03
512	aripiprazole	enhances	2D6	metoclopramide	D	N05AX12	A03FA01
521	aripiprazole	enhances	2D6	paroxetine	C	N05AX12	N06AB05
536	aripiprazole	enhances	2D6	tetrabenazine	D	N05AX12	N07XX06
607	atomoxetine	enhances	3A457	amitriptyline	D	N06BA09	N06AA09
627	atomoxetine	enhances	3A457	cilostazol	D	N06BA09	B01AC23
629	atomoxetine	enhances	3A457	citalopram	D	N06BA09	N06AB04
630	atomoxetine	enhances	3A457	clarithromycin	D	N06BA09	J01FA09
631	atomoxetine	enhances	3A457	clobazam	C	N06BA09	N05BA09
634	atomoxetine	enhances	3A457	cocaine	D	N06BA09	N01BC01
650	atomoxetine	enhances	3A457	domperidone	D	N06BA09	A03FA03
658	atomoxetine	enhances	3A457	erythromycin	D	N06BA09	J01FA01
659	atomoxetine	enhances	3A457	escitalopram	D	N06BA09	N06AB10
666	atomoxetine	enhances	3A457	haloperidol	D	N06BA09	N05AD01
685	atomoxetine	enhances	3A457	methadone	D	N06BA09	N07BC02
698	atomoxetine	enhances	3A457	ondansetron	D	N06BA09	A04AA01
708	atomoxetine	enhances	3A457	pimozide	D	N06BA09	N05AG02
713	atomoxetine	enhances	3A457	quetiapine	D	N06BA09	N05AH04
714	atomoxetine	enhances	3A457	quinidine	D	N06BA09	C01BA01
715	atomoxetine	enhances	3A457	quinine	D	N06BA09	P01BC01
718	atomoxetine	enhances	3A457	rilpivirine	D	N06BA09	J05AG05
719	atomoxetine	enhances	3A457	risperidone	D	N06BA09	N05AX08
720	atomoxetine	enhances	3A457	ritonavir	D	N06BA09	J05AE03
727	atomoxetine	enhances	3A457	salmeterol	D	N06BA09	R03AC12
728	atomoxetine	enhances	3A457	saquinavir	D	N06BA09	J05AE01
735	atomoxetine	enhances	3A457	sorafenib	D	N06BA09	L01XE05
736	atomoxetine	enhances	3A457	sunitinib	D	N06BA09	L01XE04
738	atomoxetine	enhances	3A457	tacrolimus	D	N06BA09	L04AD02
740	atomoxetine	enhances	3A457	tamoxifen	D	N06BA09	L02BA01
742	atomoxetine	enhances	3A457	telaprevir	D	N06BA09	J05AP02
743	atomoxetine	enhances	3A457	telithromycin	D	N06BA09	J01FA15
751	atomoxetine	enhances	3A457	trazodone	D	N06BA09	N06AX05
754	atomoxetine	enhances	3A457	vandetanib	D	N06BA09	L01EX04
755	atomoxetine	enhances	3A457	vardenafil	D	N06BA09	G04BE09
759	atomoxetine	enhances	3A457	venlafaxine	D	N06BA09	N06AX16
764	atomoxetine	enhances	3A457	voriconazole	D	N06BA09	J02AC03
766	atomoxetine	enhances	3A457	ziprasidone	D	N06BA09	N05AE04
773	boceprevir	enhances	3A457	alprazolam	D	J05AP03	N05BA12
780	boceprevir	enhances	3A457	atorvastatin	C	J05AP03	C10AA05
802	boceprevir	enhances	3A457	cyclosporine	C	J05AP03	L04AD01
817	boceprevir	enhances	3A457	ergotamine	C	J05AP03	N02CA02
819	boceprevir	enhances	3A457	escitalopram	B	J05AP03	N06AB10
823	boceprevir	enhances	3A457	fentanyl	C	J05AP03	N01AH01
845	boceprevir	enhances	3A457	methadone	B	J05AP03	N07BC02
846	boceprevir	enhances	3A457	midazolam	D	J05AP03	N05CD08
867	boceprevir	enhances	3A457	pimozide	C	J05AP03	N05AG02
879	boceprevir	enhances	3A457	ritonavir	D	J05AP03	J05AE03
892	boceprevir	enhances	3A457	sirolimus	C	J05AP03	L04AA10
897	boceprevir	enhances	3A457	tacrolimus	C	J05AP03	L04AD02
911	boceprevir	enhances	3A457	triazolam	C	J05AP03	N05CD05
1141	buprenorphine	enhances	3A457	alfentanil	C	N02AE01	N01AH02
1142	buprenorphine	enhances	3A457	alprazolam	D	N02AE01	N05BA12
1152	buprenorphine	enhances	3A457	boceprevir	B	N02AE01	J05AP03
1158	buprenorphine	enhances	3A457	carbamazepine	B	N02AE01	N03AF01
1162	buprenorphine	enhances	3A457	chlorpheniramine	B	N02AE01	R06AB04
1171	buprenorphine	enhances	3A457	codeine	C	N02AE01	R05DA04
1182	buprenorphine	enhances	3A457	diazepam	D	N02AE01	N05BA01
1194	buprenorphine	enhances	3A457	erythromycin	B	N02AE01	J01FA01
1199	buprenorphine	enhances	3A457	fentanyl	C	N02AE01	N01AH01
1208	buprenorphine	enhances	3A457	indinavir	B	N02AE01	J05AE02
1221	buprenorphine	enhances	3A457	methadone	D	N02AE01	N07BC02
1222	buprenorphine	enhances	3A457	midazolam	D	N02AE01	N05CD08
1256	buprenorphine	enhances	3A457	ritonavir	B	N02AE01	J05AE03
1264	buprenorphine	enhances	3A457	saquinavir	B	N02AE01	J05AE01
1288	buprenorphine	enhances	3A457	triazolam	D	N02AE01	N05CD05
1312	bupropion	enhances	2D6	chlorpheniramine	D	N06AX12	R06AB04
1314	bupropion	enhances	2D6	citalopram	B	N06AX12	N06AB04
1315	bupropion	enhances	2D6	clomipramine	B	N06AX12	N06AA04
1322	bupropion	enhances	2D6	donepezil	B	N06AX12	N06DA02
1327	bupropion	enhances	2D6	escitalopram	B	N06AX12	N06AB10
1328	bupropion	enhances	2D6	flecainide	C	N06AX12	C01BC04
1329	bupropion	enhances	2D6	fluoxetine	C	N06AX12	N06AB03
1330	bupropion	enhances	2D6	fluvoxamine	B	N06AX12	N06AB08
1331	bupropion	enhances	2D6	haloperidol	C	N06AX12	N05AD01
1333	bupropion	enhances	2D6	imipramine	B	N06AX12	N06AA02
1336	bupropion	enhances	2D6	metoclopramide	D	N06AX12	A03FA01
1337	bupropion	enhances	2D6	metoprolol	D	N06AX12	C07AB02
1341	bupropion	enhances	2D6	nortriptyline	D	N06AX12	N06AA10
1345	bupropion	enhances	2D6	paroxetine	C	N06AX12	N06AB05
1354	bupropion	enhances	2D6	propafenone	C	N06AX12	C01BC03
1356	bupropion	enhances	2D6	risperidone	C	N06AX12	N05AX08
1359	bupropion	enhances	2D6	tamoxifen	D	N06AX12	L02BA01
1360	bupropion	enhances	2D6	tetrabenazine	D	N06AX12	N07XX06
1366	bupropion	enhances	2D6	venlafaxine	D	N06AX12	N06AX16
1373	capecitabine	enhances	2C9	diclofenac	B	L01BC06	M01AB05
1390	capecitabine	enhances	2C9	phenytoin	B	L01BC06	N03AB02
1401	capecitabine	enhances	2C9	warfarin	C	L01BC06	B01AA03
1404	carbamazepine	reduces	3A457	abiraterone	D	N03AF01	L02BX03
1406	carbamazepine	reduces	1A2	acetaminophen	B	N03AF01	N02BE01
1408	carbamazepine	reduces	3A457	alfentanil	B	N03AF01	N01AH02
1409	carbamazepine	reduces	3A457	alprazolam	C	N03AF01	N05BA12
1410	carbamazepine	reduces	1A2,2C19,2C9,3A457	amitriptyline	B	N03AF01	N06AA09
1412	carbamazepine	reduces	3A457	apixaban	B	N03AF01	B01AF02
1414	carbamazepine	reduces	3A457	aripiprazole	C	N03AF01	N05AX12
1418	carbamazepine	reduces	3A457	atorvastatin	B	N03AF01	C10AA05
1426	carbamazepine	reduces	2B6	bupropion	A	N03AF01	N06AX12
1434	carbamazepine	reduces	2C19	chloramphenicol	B	N03AF01	J01BA01
1435	carbamazepine	reduces	3A457	chlorpheniramine	B	N03AF01	R06AB04
1439	carbamazepine	reduces	2B6,2C19,3A457	clobazam	B	N03AF01	N05BA09
1442	carbamazepine	reduces	1A2	clozapine	D	N03AF01	N05AH02
1449	carbamazepine	reduces	2B6,2C19	cyclophosphamide	C	N03AF01	L01AA01
1450	carbamazepine	reduces	3A457	cyclosporine	C	N03AF01	L04AD01
1454	carbamazepine	reduces	3A457	deflazacort	B	N03AF01	H02AB13
1455	carbamazepine	reduces	3A457	dexamethasone	B	N03AF01	H02AB02
1457	carbamazepine	reduces	2C19,3A457	diazepam	B	N03AF01	N05BA01
1458	carbamazepine	reduces	2C9	diclofenac	B	N03AF01	M01AB05
1459	carbamazepine	reduces	3A457	docetaxel	D	N03AF01	L01CD02
1464	carbamazepine	reduces	2B6	efavirenz	D	N03AF01	J05AG03
1469	carbamazepine	reduces	3A457	eplerenone	D	N03AF01	C03DA04
1473	carbamazepine	reduces	1A2,3A457	estradiol	B	N03AF01	G03CA03
1474	carbamazepine	reduces	3A457	felodipine	B	N03AF01	C08CA02
1475	carbamazepine	reduces	3A457	fentanyl	B	N03AF01	N01AH01
1478	carbamazepine	reduces	2C9	fluoxetine	B	N03AF01	N06AB03
1480	carbamazepine	reduces	1A2	fluvoxamine	B	N03AF01	N06AB08
1484	carbamazepine	reduces	1A2,3A457	haloperidol	B	N03AF01	N05AD01
1486	carbamazepine	reduces	3A457	hydrocortisone	B	N03AF01	H02AB09
1489	carbamazepine	reduces	2B6	ifosfamide	C	N03AF01	L01AA06
1490	carbamazepine	reduces	1A2,2C19	imipramine	B	N03AF01	N06AA02
1494	carbamazepine	reduces	3A457	irinotecan	D	N03AF01	L01CE02
1509	carbamazepine	reduces	3A457	lovastatin	D	N03AF01	C10AA02
1514	carbamazepine	reduces	2B6,3A457	methadone	C	N03AF01	N07BC02
1517	carbamazepine	reduces	3A457	midazolam	C	N03AF01	N05CD08
1522	carbamazepine	reduces	1A2,2C9	naproxen	C	N03AF01	M01AE02
1524	carbamazepine	reduces	2C19	nelfinavir	D	N03AF01	J05AE04
1526	carbamazepine	reduces	2B6,3A457	nevirapine	B	N03AF01	J05AG01
1527	carbamazepine	reduces	3A457	nifedipine	D	N03AF01	C08CA05
1531	carbamazepine	reduces	1A2	olanzapine	B	N03AF01	N05AH03
1534	carbamazepine	reduces	2C19	omeprazole	B	N03AF01	A02BC01
1538	carbamazepine	reduces	3A457	paclitaxel	B	N03AF01	L01CD01
1543	carbamazepine	reduces	2C19	phenobarbital	B	N03AF01	N03AA02
1544	carbamazepine	reduces	2C19,2C9	phenytoin	B	N03AF01	N03AB02
1551	carbamazepine	reduces	2C19	primidone	B	N03AF01	N03AA03
1556	carbamazepine	reduces	3A457	quetiapine	C	N03AF01	N05AH04
1558	carbamazepine	reduces	3A457	quinine	B	N03AF01	P01BC01
1559	carbamazepine	reduces	3A457	rilpivirine	D	N03AF01	J05AG05
1561	carbamazepine	reduces	3A457	risperidone	B	N03AF01	N05AX08
1562	carbamazepine	reduces	3A457	rivaroxaban	C	N03AF01	B01AF01
1563	carbamazepine	reduces	1A2,3A457	roflumilast	D	N03AF01	R03DX07
1571	carbamazepine	reduces	2B6	selegiline	D	N03AF01	N04BD01
1573	carbamazepine	reduces	3A457	sildenafil	D	N03AF01	G04BE03
1574	carbamazepine	reduces	3A457	simvastatin	B	N03AF01	C10AA01
1575	carbamazepine	reduces	3A457	sirolimus	D	N03AF01	L04AA10
1577	carbamazepine	reduces	2B6,3A457	sorafenib	B	N03AF01	L01XE05
1578	carbamazepine	reduces	3A457	sunitinib	D	N03AF01	L01XE04
1582	carbamazepine	reduces	3A457	tacrolimus	C	N03AF01	L04AD02
1586	carbamazepine	reduces	3A457	temsirolimus	D	N03AF01	L01EG01
1590	carbamazepine	reduces	1A2	theophylline	B	N03AF01	R03DA04
1592	carbamazepine	reduces	1A2	tizanidine	B	N03AF01	M03BX02
1595	carbamazepine	reduces	3A457	tolvaptan	D	N03AF01	C03XA01
1597	carbamazepine	reduces	2B6,3A457	tramadol	D	N03AF01	N02AX02
1598	carbamazepine	reduces	3A457	trazodone	B	N03AF01	N06AX05
1600	carbamazepine	reduces	3A457	triazolam	C	N03AF01	N05CD05
1602	carbamazepine	reduces	2C9	valproate	B	N03AF01	N03AG01
1603	carbamazepine	reduces	3A457	vandetanib	D	N03AF01	L01EX04
1609	carbamazepine	reduces	1A2	verapamil	B	N03AF01	C08DA01
1611	carbamazepine	reduces	3A457	vincristine	D	N03AF01	L01CA02
1613	carbamazepine	reduces	2C19,2C9	voriconazole	D	N03AF01	J02AC03
1614	carbamazepine	reduces	1A2,2C19,2C9	warfarin	C	N03AF01	B01AA03
1616	carbamazepine	reduces	3A457	zaleplon	D	N03AF01	N05CF03
1618	carbamazepine	reduces	3A457	ziprasidone	B	N03AF01	N05AE04
1620	carbamazepine	reduces	3A457	zolpidem	B	N03AF01	N05CF02
1628	celecoxib	enhances	2D6	carvedilol	B	M01AH01	C07AG02
1631	celecoxib	enhances	2D6	citalopram	C	M01AH01	N06AB04
1641	celecoxib	enhances	2D6	duloxetine	B	M01AH01	N06AX21
1644	celecoxib	enhances	2D6	escitalopram	C	M01AH01	N06AB10
1646	celecoxib	enhances	2D6	fluoxetine	C	M01AH01	N06AB03
1647	celecoxib	enhances	2D6	fluvoxamine	C	M01AH01	N06AB08
1654	celecoxib	enhances	2D6	metoprolol	B	M01AH01	C07AB02
1662	celecoxib	enhances	2D6	paroxetine	C	M01AH01	N06AB05
1672	celecoxib	enhances	2D6	propranolol	B	M01AH01	C07AA05
1679	celecoxib	enhances	2D6	timolol	B	M01AH01	C07AA06
1683	celecoxib	enhances	2D6	venlafaxine	C	M01AH01	N06AX16
1929	chloramphenicol	enhances	3A457	carbamazepine	B	J01BA01	N03AF01
1937	chloramphenicol	enhances	2C19,3A457	citalopram	C	J01BA01	N06AB04
1948	chloramphenicol	enhances	2C19	cyclophosphamide	C	J01BA01	L01AA01
1949	chloramphenicol	enhances	3A457	cyclosporine	B	J01BA01	L04AD01
1958	chloramphenicol	enhances	3A457	docetaxel	D	J01BA01	L01CD02
1969	chloramphenicol	enhances	2C19,3A457	escitalopram	C	J01BA01	N06AB10
1981	chloramphenicol	enhances	3A457	imatinib	D	J01BA01	L01XE01
2019	chloramphenicol	enhances	3A457	paclitaxel	B	J01BA01	L01CD01
2025	chloramphenicol	enhances	2C19	phenobarbital	B	J01BA01	N03AA02
2026	chloramphenicol	enhances	2C19	phenytoin	B	J01BA01	N03AB02
2060	chloramphenicol	enhances	3A457	tacrolimus	C	J01BA01	L04AD02
2085	chloramphenicol	enhances	3A457	vincristine	B	J01BA01	L01CA02
2087	chloramphenicol	enhances	2C19,3A457	voriconazole	C	J01BA01	J02AC03
2088	chloramphenicol	enhances	2C19	warfarin	B	J01BA01	B01AA03
2101	chlorpheniramine	enhances	2D6	citalopram	B	R06AB04	N06AB04
2103	chlorpheniramine	enhances	2D6	clonidine	B	R06AB04	C02AC01
2104	chlorpheniramine	enhances	2D6	codeine	B	R06AB04	R05DA04
2111	chlorpheniramine	enhances	2D6	duloxetine	C	R06AB04	N06AX21
2114	chlorpheniramine	enhances	2D6	escitalopram	B	R06AB04	N06AB10
2116	chlorpheniramine	enhances	2D6	fluoxetine	D	R06AB04	N06AB03
2117	chlorpheniramine	enhances	2D6	fluvoxamine	B	R06AB04	N06AB08
2118	chlorpheniramine	enhances	2D6	haloperidol	B	R06AB04	N05AD01
2130	chlorpheniramine	enhances	2D6	oxycodone	B	R06AB04	N02AA05
2158	chlorpromazine	enhances	2D6	amitriptyline	D	N05AA01	N06AA09
2160	chlorpromazine	enhances	2D6	atomoxetine	D	N05AA01	N06BA09
2165	chlorpromazine	enhances	2D6	citalopram	D	N05AA01	N06AB04
2166	chlorpromazine	enhances	2D6	clomipramine	D	N05AA01	N06AA04
2172	chlorpromazine	enhances	2D6	dextromethorphan	B	N05AA01	R05DA09
2173	chlorpromazine	enhances	2D6	donepezil	D	N05AA01	N06DA02
2175	chlorpromazine	enhances	2D6	duloxetine	B	N05AA01	N06AX21
2178	chlorpromazine	enhances	2D6	escitalopram	D	N05AA01	N06AB10
2179	chlorpromazine	enhances	2D6	flecainide	D	N05AA01	C01BC04
2180	chlorpromazine	enhances	2D6	fluoxetine	D	N05AA01	N06AB03
2182	chlorpromazine	enhances	2D6	haloperidol	D	N05AA01	N05AD01
2184	chlorpromazine	enhances	2D6	imipramine	D	N05AA01	N06AA02
2187	chlorpromazine	enhances	2D6	metoclopramide	D	N05AA01	A03FA01
2188	chlorpromazine	enhances	2D6	metoprolol	B	N05AA01	C07AB02
2192	chlorpromazine	enhances	2D6	nortriptyline	D	N05AA01	N06AA10
2193	chlorpromazine	enhances	2D6	ondansetron	D	N05AA01	A04AA01
2194	chlorpromazine	enhances	2D6	oxycodone	C	N05AA01	N02AA05
2196	chlorpromazine	enhances	2D6	paroxetine	D	N05AA01	N06AB05
2204	chlorpromazine	enhances	2D6	promethazine	D	N05AA01	R06AD02
2205	chlorpromazine	enhances	2D6	propafenone	D	N05AA01	C01BC03
2206	chlorpromazine	enhances	2D6	propranolol	B	N05AA01	C07AA05
2207	chlorpromazine	enhances	2D6	risperidone	D	N05AA01	N05AX08
2210	chlorpromazine	enhances	2D6	tamoxifen	D	N05AA01	L02BA01
2211	chlorpromazine	enhances	2D6	tetrabenazine	D	N05AA01	N07XX06
2214	chlorpromazine	enhances	2D6	tramadol	C	N05AA01	N02AX02
2217	chlorpromazine	enhances	2D6	venlafaxine	D	N05AA01	N06AX16
2226	cimetidine	enhances	3A457	alprazolam	B	A02BA01	N05BA12
2229	cimetidine	enhances	1A2,2C19,2D6,3A457	amitriptyline	B	A02BA01	N06AA09
2247	cimetidine	enhances	3A457	carbamazepine	B	A02BA01	N03AF01
2255	cimetidine	enhances	2D6	chlorpromazine	B	A02BA01	N05AA01
2259	cimetidine	enhances	3A457	clarithromycin	A	A02BA01	J01FA09
2260	cimetidine	enhances	2C19,3A457	clobazam	B	A02BA01	N05BA09
2261	cimetidine	enhances	1A2,2C19,2D6	clomipramine	B	A02BA01	N06AA04
2264	cimetidine	enhances	1A2	clozapine	B	A02BA01	N05AH02
2273	cimetidine	enhances	3A457	cyclosporine	B	A02BA01	L04AD01
2283	cimetidine	enhances	2C19,3A457	diazepam	B	A02BA01	N05BA01
2284	cimetidine	enhances	3A457	diltiazem	B	A02BA01	C08DB01
2296	cimetidine	enhances	3A457	eplerenone	C	A02BA01	C03DA04
2303	cimetidine	enhances	3A457	fentanyl	B	A02BA01	N01AH01
2305	cimetidine	enhances	2D6	flecainide	B	A02BA01	C01BC04
2307	cimetidine	enhances	2D6	fluoxetine	B	A02BA01	N06AB03
2315	cimetidine	enhances	1A2,2C19,2D6	imipramine	B	A02BA01	N06AA02
2336	cimetidine	enhances	2D6	metoclopramide	A	A02BA01	A03FA01
2337	cimetidine	enhances	2D6	metoprolol	B	A02BA01	C07AB02
2339	cimetidine	enhances	3A457	midazolam	B	A02BA01	N05CD08
2347	cimetidine	enhances	2D6	nebivolol	B	A02BA01	C07AB12
2350	cimetidine	enhances	3A457	nevirapine	B	A02BA01	J05AG01
2351	cimetidine	enhances	3A457	nifedipine	B	A02BA01	C08CA05
2353	cimetidine	enhances	3A457	nisoldipine	B	A02BA01	C08CA07
2354	cimetidine	enhances	3A457	nitrendipine	B	A02BA01	C08CA08
2355	cimetidine	enhances	2D6	nortriptyline	B	A02BA01	N06AA10
2363	cimetidine	enhances	3A457	paclitaxel	B	A02BA01	L01CD01
