drug	arc	GROUP_CONCAT(cyp)
midodrine	2	2D6
mifepristone	2	3A457
minaprine	1	2D6
moclobemide	1	2C19
moclobemide	2	2D6
modafinil	2	2C19
modafinil	3	1A2,3A457
montelukast	2	2C8
nabumetone	1	1A2
nafcillin	3	1A2
naldemedine	1	3A457
naloxegol	1	3A457
naproxen	1	1A2,2C9
nateglinide	1	2C9,3A457
nebivolol	1	2D6
nefazodone	2	3A457
nelfinavir	1	2C19
nelfinavir	4	3A457
neratinib	1	3A457
nevirapine	3	2C9
nevirapine	5	2B6,3A457
nifedipine	1	3A457
nilutamide	1	2C19
nisoldipine	1	3A457
nitrendipine	1	3A457
norethisterone	3	2C19
norfloxacin	2	3A457
nortriptyline	1	2D6
olanzapine	1	1A2
olaparib	1	3A457
olodaterol	1	2C8,2C9
omeprazole	3	1A2
omeprazole	4	2C19,3A457
ondansetron	1	1A2,2D6,3A457
oritavancin	2	2C19
oritavancin	3	2D6,3A457
osimertinib	1	3A457
ospemifene	1	2C19,2C9,3A457
oxcarbazepine	3	3A457
oxycodone	1	2D6
paclitaxel	1	2C8,3A457
palbociclib	1	3A457
palonosetron	1	2D6
palonosetron	4	3A457
panobinostat	1	3A457
panobinostat	2	2D6
pantoprazole	4	2C19,3A457
paroxetine	2	2C9
paroxetine	4	2D6
perampanel	2	2C8
perampanel	3	2B6
perampanel	4	3A457
perhexiline	1	2D6
perphenazine	4	2D6
phenacetin	1	1A2,2D6
phenformin	1	2D6
phenobarbital	1	2C19
phenobarbital	3	2B6,2C9,3A457
phenylbutazone	2	2C9
phenytoin	1	2C19,2C9
phenytoin	3	2B6,3A457
pimavanserin	1	2D6,3A457
pimozide	1	3A457
pioglitazone	3	3A457
pirfenidone	1	1A2
piroxicam	1	2C9
pomalidomide	1	1A2,2C19,2D6,3A457
ponatinib	1	2C8,2D6,3A457
prednisone	3	2C19
primidone	1	2C19
progesterone	1	2C19,3A457
proguanil	1	2C19
promethazine	4	2D6
propafenone	1	2D6
propofol	1	2B6
propranolol	1	1A2,2C19,2D6,3A457
quetiapine	1	3A457
quinidine	1	3A457
quinidine	2	2D6
quinine	1	3A457
ranitidine	2	2D6
regorafenib	4	3A457
repaglinide	1	2C8
ribociclib	2	1A2,2E1
ribociclib	4	3A457
rifabutin	3	3A457
rifampin	3	1A2,2B6,2C19,2C8,2C9,2D6,3A457
rilpivirine	1	3A457
riluzole	1	1A2
risperidone	1	2D6,3A457
ritonavir	2	2D6
ritonavir	3	2C19
ritonavir	4	3A457
rivaroxaban	1	3A457
roflumilast	1	1A2,3A457
roflumilast	3	2B6
rolapitant	1	3A457
rolapitant	2	2D6
romidepsin	1	3A457
ropivacaine	1	1A2
rosiglitazone	1	2C9
rucaparib	1	2D6
rucaparib	4	3A457
rucaparib	5	1A2
ruxolitinib	1	2C9,3A457
salmeterol	1	3A457
saquinavir	4	3A457
secobarbital	3	2C9
selegiline	1	2B6
selexipag	1	2C8,3A457
sertraline	2	2D6
sevoflurane	1	2E1
sildenafil	1	3A457
simeprevir	2	1A2
simeprevir	4	3A457
simvastatin	1	3A457
sirolimus	1	3A457
sonidegib	1	3A457
sorafenib	1	2B6,2C8,3A457
sparteine	1	2D6
starfruit	2	3A457
sulfamethoxazole	2	2C9
sulfaphenazole	2	2C9
sunitinib	1	3A457
suprofen	1	2C9
suvorexant	1	2C19,3A457
tacrine	1	1A2
tacrolimus	1	3A457
tadalafil	1	3A457
tamoxifen	1	2C9,2D6,3A457
tasimelteon	1	1A2,3A457
telaprevir	4	3A457
telithromycin	4	3A457
telotristat	3	3A457
temsirolimus	1	3A457
teniposide	1	2C19
terbinafine	2	2D6
terfenadine	1	3A457
teriflunomide	2	2C8
teriflunomide	3	1A2
testosterone	1	3A457
tetrabenazine	1	2D6
theophylline	1	1A2,2E1
thioridazine	1	2D6
thiotepa	2	2B6
ticagrelor	1	3A457
ticlopidine	2	1A2,2B6,2C19,2D6
timolol	1	2D6
tizanidine	1	1A2
tobacco	3	1A2
tofacitinib	1	2C19,3A457
tolbutamide	1	2C9
tolvaptan	1	3A457
topiramate	2	2C19
torasemide	1	2C8,2C9
tramadol	1	2B6,2D6,3A457
trazodone	1	3A457
triamterene	1	1A2
triazolam	1	3A457
trimethoprim	2	2C8
tripelennamine	2	2D6
troglitazone	3	3A457
troleandomycin	2	3A457
tucatinib	2	3A457
tucatinib	4	2C8
umeclidinium	1	2D6
valbenazine	1	2D6,3A457
valproate	1	2C9
vandetanib	1	3A457
vardenafil	1	3A457
velpatasvir	1	2B6,3A457
vemurafenib	1	3A457
vemurafenib	2	1A2,2D6
venetoclax	1	3A457
venlafaxine	1	2C19,2C9,2D6,3A457
verapamil	1	1A2
verapamil	4	3A457
vilazodone	1	2C19,2D6,3A457
vincristine	1	3A457
vorapaxar	1	3A457
voriconazole	2	2B6
voriconazole	4	2C19,2C9,3A457
warfarin	1	1A2,2C19,2C9
wort	3	2C19,2C9,3A457
zafirlukast	4	2C9
zaleplon	1	3A457
zileuton	1	1A2
ziprasidone	1	3A457
zolmitriptan	1	1A2
zolpidem	1	3A457
zuclopenthixol	1	2D6
